resources_level_of_description,resources_identifier,resources_comonent_unique_identifier,resources_repository_processing_note,Instance_type (= Accession / Audio / Computer Disks / Graphic Materials / Mixed Materials / Moving Images,container1_type,container1_indicator,subcontainer_indicator_2,resources_title,notes_scopeandcontentnote,Resources_date (=Creation / Expression),extent_number,extent_type,extent_container_summary,extent_physcial_details,extent_dimensions,Event_Migration (Outcome= Fail),subject_genre / form (= Audio / Moving Image / Born Digital ]
Description Level (Collection / Item),Collection Number,Item Number (file no/control no),Previous Location: ,Type of material,Box Type,Item Number,Barcode,Title ,Scope and Content Note,Date Range,Quantity,Extent Type,Container Sumary,Physcial Detals (Format),Dimensions / Brand info,Event - Migration,
Collection,MS 4887,,,,,,,Papers of Frank Hardy (sound/AV carriers),,c.1977,2,Items,,,,,
Item,MS 4887,1,Series 31 Folder 9 Box 159. Removed from collection as part of P&M Obsolete Carriers removal project 2016-2017,Audio,Cassette Box,5,NLA.MS-SAV000061,"1, 2 Begin near end S S Term? F Trueman ETC [Cricket book with F. Trueman Sep. 1977]",,?1977,1,Item,,Compact cassette tape,Monatone LN60,Ingestion - Fail,Audio
Item,MS 4887,2,Series 31 Folder 9 Box 159. Removed from collection as part of P&M Obsolete Carriers removal project 2016-2017,,Cassette Box ,5,NLA.MS-SAV000062,[Cricket book with F. Trueman Sep. 1977],,?1977,1,Item,,Compact cassette tape,Compact Cassette C120,Ingestion - Fail,Audio
Collection,MS 10001,,,,,,,Records of Panpacific [sound/AV carriers - record for merging],,1978-1995,9,Items,,,,,
Item,MS 10001,1,Series 95 Box 15. Removed from collection as part of P&M Obsolete Carriers removal project 2016-2017,,Cassette Box,5,NLA.MS-SAV000063,"Tape 1 -F. Bischoff record of - Report of Conference of Pan Pacific and South East Asian Women's Association held in Apia, Western Samoa July 24 - August 4, 1978",Interview with Pan Pacific and SEA conference staff. ,1978,1,Item,,Compact cassette tape,PYE C30,,Moving Image
