resources_basicinformation_title,resources_basicinformation_identifier,resources_rights_statements = institutional policy; access conditions,resources_rights_statement = institutional policy: use conditions,resources_rights_statement = institutional policy: granted note,resource_basic_information_resopsitory_processing_note,resource_basic_information_resopsitory_processing_note,resources_dates = Creation; Expression,resources_container_summary,resources_extent_number,resources_extent_type,resources_notes_conditiongoverningaccess,resources_notes_immediatesourceofacquisition,resources_notes_arrangement,resources_notes_biographicalhistorical,resources_notes_custodialhistory,resources_notes_general,resources_notes_physicaldescription,resources_notes_preferredcitation,resources_notes_relatedmaterials,resources_notes_scopeandcontent,resources_notes_separatedmaterials,resources_notes_conditionsgoverninguse,resources_notes_bibliography,resources_notes_existenceandlocationofcopies,resources_notes_existenceandlocationoforiginals,resources_notes_otherfindingaids
,,,,,,project statement (WORDING TO BE ADVISED),,CONTENT TBA,CONTENT TBA,CONTENT TBA,,,,,,,,,,,,,,,,
Title,Orig Call Number,Access Conditions,Terms of use,Granted Note,Related Holdings,,Date range,Extent,Number,Type,Conditions governing acces,Immediate source of acquisition,Arrangement,Biographical / Historical,Custodial history,General,Physical description,Preferred citation,Related materials,Scope and contents,Separated materials,Conditions governing use,Bibliography,Existence and location of copies,Existence and location of originals,Other finding aids
