resources_level_of_description,resources_identifier,resources_comonent_unique_identifier,resources_repository_processing_note,Instance_type (= Accession / Audio / Computer Disks / Graphic Materials / Mixed Materials / Moving Images,container1_type,container1_indicator,subcontainer_indicator_2,resources_title,notes_scopeandcontentnote,Resources_date (=Creation / Expression),extent_number,extent_type,extent_container_summary,extent_physcial_details,extent_dimensions,subject_genre / form (= Audio / Moving Image / Born Digital ]
Description Level (Collection / Item),Collection Number,Item Number (file no/control no),Previous Location: ,Type of material,Box Type,Item Number,Barcode,Title ,Scope and Content Note,Date Range,Quantity,Extent Type,Container Sumary,Physcial Detals (Format),Dimensions / Brand info,
